ra,dec,fov,width,height,hips,output,format
0.9856658768,-10.351336507,0.2,500,500,SDSS,sdss_304.png,png
0.9886235195,0.4755810507,0.2,500,500,SDSS,sdss_305.png,png
0.9913354955,-10.345651526,0.2,500,500,SDSS,sdss_306.png,png
0.9921440637,-0.0456586022,0.2,500,500,SDSS,sdss_307.png,png
0.995029544,13.7245852528,0.2,500,500,SDSS,sdss_308.png,png
0.9974332902,-10.3196789209,0.2,500,500,SDSS,sdss_309.png,png
0.9985000827,2.4579197826,0.2,500,500,SDSS,sdss_310.png,png
0.9994659356,1.0727759494,0.2,500,500,SDSS,sdss_311.png,png
1.0003469508,0.5062590488,0.2,500,500,SDSS,sdss_312.png,png
1.0025958368,14.7037288263,0.2,500,500,SDSS,sdss_313.png,png
1.0026920325,-11.1779791525,0.2,500,500,SDSS,sdss_314.png,png
1.0032997865,16.0195751466,0.2,500,500,SDSS,sdss_315.png,png
1.0067345364,-10.8302228545,0.2,500,500,SDSS,sdss_316.png,png
1.0078473252,0.4937126376,0.2,500,500,SDSS,sdss_317.png,png
1.0108827774,0.4763385993,0.2,500,500,SDSS,sdss_318.png,png
1.0122576108,13.7514625703,0.2,500,500,SDSS,sdss_319.png,png
1.0124526868,-10.0439886841,0.2,500,500,SDSS,sdss_320.png,png
1.0133987937,0.5027161344,0.2,500,500,SDSS,sdss_321.png,png
1.0136055884,0.6456642745,0.2,500,500,SDSS,sdss_322.png,png
1.0176265654,1.8384496401,0.2,500,500,SDSS,sdss_323.png,png
1.0179816506,-10.3649820061,0.2,500,500,SDSS,sdss_324.png,png
1.0233367404,-10.1132183056,0.2,500,500,SDSS,sdss_325.png,png
1.0250437161,-0.2259458414,0.2,500,500,SDSS,sdss_326.png,png
1.0267219387,0.5509852067,0.2,500,500,SDSS,sdss_327.png,png
1.0294125338,14.4603524688,0.2,500,500,SDSS,sdss_328.png,png
1.0297019509,-0.8637060388,0.2,500,500,SDSS,sdss_329.png,png
1.0300137175,-0.2622938988,0.2,500,500,SDSS,sdss_330.png,png
1.0322229731,0.7364962009,0.2,500,500,SDSS,sdss_331.png,png
1.0335365106,-9.5606144828,0.2,500,500,SDSS,sdss_332.png,png
1.0421696789,0.6701841998,0.2,500,500,SDSS,sdss_333.png,png
1.0432600543,0.4779458009,0.2,500,500,SDSS,sdss_334.png,png
1.0435921047,-10.0217100214,0.2,500,500,SDSS,sdss_335.png,png
1.0483368826,2.3266408666,0.2,500,500,SDSS,sdss_336.png,png
1.0548124151,13.8515432784,0.2,500,500,SDSS,sdss_337.png,png
1.0566809157,0.7795781509,0.2,500,500,SDSS,sdss_338.png,png
1.0577051054,1.0011848897,0.2,500,500,SDSS,sdss_339.png,png
1.0598530738,0.4758364862,0.2,500,500,SDSS,sdss_340.png,png
1.0650526227,-11.0872252539,0.2,500,500,SDSS,sdss_341.png,png
1.0667476287,-9.9577526412,0.2,500,500,SDSS,sdss_342.png,png
1.0759446289,-1.1614540895,0.2,500,500,SDSS,sdss_343.png,png
1.0849683434,1.1278511532,0.2,500,500,SDSS,sdss_344.png,png
1.0909865381,1.0891678133,0.2,500,500,SDSS,sdss_345.png,png
1.0941366654,0.7280610598,0.2,500,500,SDSS,sdss_346.png,png
1.0950249557,-9.6654585808,0.2,500,500,SDSS,sdss_347.png,png
1.0989268409,14.3578146239,0.2,500,500,SDSS,sdss_348.png,png
1.1025571543,-9.8474876636,0.2,500,500,SDSS,sdss_349.png,png
1.1079839399,-10.2353836631,0.2,500,500,SDSS,sdss_350.png,png
1.1102387988,16.0628132475,0.2,500,500,SDSS,sdss_351.png,png
1.1105949227,14.9319087938,0.2,500,500,SDSS,sdss_352.png,png
1.1109848229,-2.9318675139,0.2,500,500,SDSS,sdss_353.png,png
1.113147666,1.5288556317,0.2,500,500,SDSS,sdss_354.png,png
1.1278259642,14.0368211408,0.2,500,500,SDSS,sdss_355.png,png
1.1330017904,-1.2365875987,0.2,500,500,SDSS,sdss_356.png,png
1.1351171625,0.9087526676,0.2,500,500,SDSS,sdss_357.png,png
1.142789025,-9.0525850432,0.2,500,500,SDSS,sdss_358.png,png
1.1467147642,0.8485939902,0.2,500,500,SDSS,sdss_359.png,png
1.1491449427,15.3713839593,0.2,500,500,SDSS,sdss_360.png,png
1.153316368,-10.3760560212,0.2,500,500,SDSS,sdss_361.png,png
1.1555381668,-9.0231702573,0.2,500,500,SDSS,sdss_362.png,png
1.1567768809,-10.1152731779,0.2,500,500,SDSS,sdss_363.png,png
1.1587131228,1.1221040391,0.2,500,500,SDSS,sdss_364.png,png
1.1602430546,15.8167597219,0.2,500,500,SDSS,sdss_365.png,png
1.166442768,-9.6660321512,0.2,500,500,SDSS,sdss_366.png,png
1.1684930567,0.5839992288,0.2,500,500,SDSS,sdss_367.png,png
1.1697801067,14.2354553569,0.2,500,500,SDSS,sdss_368.png,png
1.1765149176,-0.6441200332,0.2,500,500,SDSS,sdss_369.png,png
1.1862134653,15.7841612669,0.2,500,500,SDSS,sdss_370.png,png
1.1866369198,-10.1235200369,0.2,500,500,SDSS,sdss_371.png,png
1.203922038,0.9511432178,0.2,500,500,SDSS,sdss_372.png,png
1.204074885,0.5593111996,0.2,500,500,SDSS,sdss_373.png,png
1.2049438968,0.4669441427,0.2,500,500,SDSS,sdss_374.png,png
